market_id,method,identity_source_market_id,modernity_threshold,replacement_rate_default,fallback_rule,normalize_basis,background_source_db,provider_or_proxy_label,source_reference,notes
MM_ELEC_CA_2025,custom_empirical_mix,,,,positive_delta_then_fallback,positive_delta,,Canada electricity marginal mix technology bin,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Forecast-based empirical electricity mix over the 2025-2030 planning horizon; no CRR correction applied.
MM_AL_BILLET_CA_2025,custom_empirical_mix,,,,positive_delta_then_fallback,positive_delta,,primary aluminium / billet-equivalent foreground avoided-production provider,"https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec; https://www.riotinto.com/en/news/releases/2021/elysis-selects-alma-smelter-for-commercial-size-450-ka-inert-anode-prototype-cells",Empirical 'who expands?' billet market screen over 2018-2023 used for conventional recycling and MS-FSC in the public example.
MM_ELEC_2050_INHERITED,inherit_background,,,,,,prospective_conseq_IMAGE_SSP2M_2050_PERF,scenario-conditioned electricity provider(s),premise 2.3.2 / IMAGE SSP2-M / ecoinvent 3.10.1 consequential,Prospective electricity is inherited from the scenario-conditioned background.
MM_AL_BILLET_2050_OVERLAY,prospective_overlay,MM_AL_BILLET_CA_2025,,,retain_source_shares,source_market_marginal_share,prospective_conseq_IMAGE_SSP2M_2050_PERF,conventional plus inert-anode/ELYSIS-type aluminium proxy,"https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec; https://www.riotinto.com/en/news/releases/2021/elysis-selects-alma-smelter-for-commercial-size-450-ka-inert-anode-prototype-cells",Retain 2025 billet-market supplier identity shares and attach 2050 overlay component families.
