market_id,overlay_id,overlay_label,overlay_provider_label,overlay_share,overlay_rank,source_reference,notes
MM_AL_BILLET_2050_OVERLAY,overlay_conventional,conventional supply,conventional aluminium proxy,,1,"https://aluminium.ca/en/the-industry/; https://www.riotinto.com/en/news/releases/2023/rio-tinto-to-expand-its-ap60-low-carbon-aluminium-smelter-in-quebec",Public example intentionally leaves overlay_share blank; use local evidence if a quantified split is warranted.
MM_AL_BILLET_2050_OVERLAY,overlay_inert,inert-anode / ELYSIS-type supply,inert-anode / ELYSIS-type aluminium proxy,,2,"https://www.riotinto.com/en/news/releases/2021/elysis-selects-alma-smelter-for-commercial-size-450-ka-inert-anode-prototype-cells",Public example intentionally leaves overlay_share blank; use local evidence if a quantified split is warranted.
